(-1250.0,-1360.0) name=C0_100, ports=DDDD, mode=TE, submitter='sequoiac', grouping=3
(-1170.0,-1360.0) name=C0_200, ports=DDDD, mode=TE, submitter='sequoiac', grouping=3
(-1090.0,-1360.0) name=C0_300, ports=DDDD, mode=TE, submitter='sequoiac', grouping=3
(-920.0,-1360.0) name=C0_500, ports=DDDD, mode=TE, submitter='sequoiac', grouping=3
(-1010.0,-1360.0) name=C0_400, ports=DDDD, mode=TE, submitter='sequoiac', grouping=3
(-1250.0,-3125.0) name=MZI2, ports=DDDD, mode=TE, submitter='sequoiac', grouping=3
(-1070.0,-3125.0) name=MZI3, ports=DDDD, mode=TE, submitter='sequoiac', grouping=3
(-890.0,-3125.0) name=MZI4, ports=DDDD, mode=TE, submitter='sequoiac', grouping=3
(-1245.92,-2625.0) name=opt_hybrid_jogs_0, ports=DDDDDD, mode=TE, submitter='sequoiac', grouping=3
(-1005.9200000000001,-2625.0) name=opt_hybrid_jogs_1, ports=DDDDDD, mode=TE, submitter='sequoiac', grouping=3
(-765.9200000000001,-2625.0) name=opt_hybrid_jogs_2, ports=DDDDDD, mode=TE, submitter='sequoiac', grouping=3
(-525.9200000000001,-2625.0) name=opt_hybrid_jogs_3, ports=DDDDDD, mode=TE, submitter='sequoiac', grouping=3
(190.0,-3125.0) name=MZI2, ports=DDDD, mode=TE, submitter='sequoiac', grouping=3
(370.0,-3125.0) name=MZI3, ports=DDDD, mode=TE, submitter='sequoiac', grouping=3
(550.0,-3125.0) name=MZI4, ports=DDDD, mode=TE, submitter='sequoiac', grouping=3
(81.19000000000005,-3750.0) name=SIOH_dc_jogs_0, ports=DDDDD, mode=TE, submitter='sequoiac', grouping=3
(271.19000000000005,-3750.0) name=SIOH_dc_jogs_1, ports=DDDDD, mode=TE, submitter='sequoiac', grouping=3
(461.19000000000005,-3750.0) name=SIOH_dc_jogs_2, ports=DDDDD, mode=TE, submitter='sequoiac', grouping=3
(651.19,-3750.0) name=SIOH_dc_jogs_3, ports=DDDDD, mode=TE, submitter='sequoiac', grouping=3
(-218.37999999999988,-2625.0) name=DIOH_dc_jogs_0, ports=DDDDDD, mode=TE, submitter='sequoiac', grouping=3
(21.62000000000012,-2625.0) name=DIOH_dc_jogs_1, ports=DDDDDD, mode=TE, submitter='sequoiac', grouping=3
(261.6200000000001,-2625.0) name=DIOH_dc_jogs_2, ports=DDDDDD, mode=TE, submitter='sequoiac', grouping=3
(501.6200000000001,-2625.0) name=DIOH_dc_jogs_3, ports=DDDDDD, mode=TE, submitter='sequoiac', grouping=3
(-1250.0,450.0) name=SIOH_jogs_0, ports=DDDDD, mode=TE, submitter='sequoiac', grouping=4
(-920.0,450.0) name=SIOH_jogs_1, ports=DDDDD, mode=TE, submitter='sequoiac', grouping=4
(-590.0,450.0) name=SIOH_jogs_2, ports=DDDDD, mode=TE, submitter='sequoiac', grouping=4
(-260.0,450.0) name=SIOH_jogs_3, ports=DDDDD, mode=TE, submitter='sequoiac', grouping=4
(-530.0,1075.0) name=MZI2, ports=DDDD, mode=TE, submitter='sequoiac', grouping=4
(-350.0,1075.0) name=MZI3, ports=DDDD, mode=TE, submitter='sequoiac', grouping=4
(-170.0,1075.0) name=MZI4, ports=DDDD, mode=TE, submitter='sequoiac', grouping=4
(-530.0,2335.0) name=MZI2, ports=DDDD, mode=TE, submitter='sequoiac', grouping=4
(-350.0,2335.0) name=MZI3, ports=DDDD, mode=TE, submitter='sequoiac', grouping=4
(-170.0,2335.0) name=MZI4, ports=DDDD, mode=TE, submitter='sequoiac', grouping=4
(-290.0,2840.0) name=C0_r10, ports=DD, mode=TE, submitter='sequoiac', grouping=4
(-90.0,2840.0) name=C0_r20, ports=DD, mode=TE, submitter='sequoiac', grouping=4
(110.0,2840.0) name=C0_r30, ports=DD, mode=TE, submitter='sequoiac', grouping=4
(310.0,2840.0) name=C0_r40, ports=DD, mode=TE, submitter='sequoiac', grouping=4
(560.0,2840.0) name=C0_r50, ports=DD, mode=TE, submitter='sequoiac', grouping=4
(-290.0,3140.0) name=C0_l0, ports=DD, mode=TE, submitter='sequoiac', grouping=4
(-90.0,3140.0) name=C0_l1, ports=DD, mode=TE, submitter='sequoiac', grouping=4
